filename,text,up_votes,down_votes,age,rhotacism,accent,duration
cv-invalid/tc1.wav,Laler menclok pager,,,,normal,,
cv-invalid/tc2.wav,Laler menclok pager,,,,normal,,
cv-invalid/tc3.wav,Laler menclok pager,,,,normal,,
cv-invalid/tc4.wav,Laler menclok pager,,,,normal,,
cv-invalid/tc5.wav,Laler menclok pager,,,,normal,,
cv-invalid/tc6.wav,Laler menclok pager,,,,normal,,
cv-invalid/tc7.wav,Laler menclok pager,,,,normal,,
cv-invalid/tc8.wav,Laler menclok pager,,,,normal,,
cv-invalid/tc9.wav,Laler menclok pager,,,,normal,,
cv-invalid/tc10.wav,Laler menclok pager,,,,normal,,
cv-invalid/c1.wav,Lalel menclok pagel,,,,rhotacism,,
cv-invalid/c2.wav,Lalel menclok pagel,,,,rhotacism,,
cv-invalid/c3.wav,Lalel menclok pagel,,,,rhotacism,,
cv-invalid/c4.wav,Lalel menclok pagel,,,,rhotacism,,
cv-invalid/c5.wav,Lalel menclok pagel,,,,rhotacism,,
cv-invalid/c6.wav,Lalel menclok pagel,,,,rhotacism,,
cv-invalid/c7.wav,Lalel menclok pagel,,,,rhotacism,,
cv-invalid/c8.wav,Lalel menclok pagel,,,,rhotacism,,
cv-invalid/c9.wav,Lalel menclok pagel,,,,rhotacism,,
cv-invalid/c10.wav,Lalel menclok pagel,,,,rhotacism,,
